id,title,price,link,categories,description,rating,weight,image,stock_status
17915,Apricot Rolls,8.5,https://www.alrifai.com/shop/apricot-rolls/,"All, All Fruits, Fruit Paste","Apricots, sugar, water, glucose and olive oil all mixed together and brought to a boil then dried into a thick paste. A unique take from Rifai on this oriental confection which is cut in small pieces and rolled into bites and wrapped individually.
SOLD IN: 500g (1.1lb) and 1Kg (2.2 lb)
ALLERGEN NOTICE: None",NaN,"500g, 1.1lb, 1Kg, 2.2 lb",https://i0.wp.com/www.alrifai.com/wp-content/uploads/2022/07/Apricot-Roll-_AH__0843.jpg?fit=700%2C700&ssl=1,In stock
17918,Armouche Ã¢ÂÂ Sugared Pistachios,27.0,https://www.alrifai.com/shop/armouche-sugared-pistachios/,"All, Confectionery, Malban & Nougat","Premium peeled pistachios crusted with sugar to form a circular delectable snack.
SOLD IN: Individually Wrapped in 500g (1.1lb) and 1Kg (2.2 lb)
ALLERGEN NOTICE: Nuts.",NaN,"500g, 1.1lb, 1Kg, 2.2 lb",https://i0.wp.com/www.alrifai.com/wp-content/uploads/2022/07/Armouch-Small_AH__0838.jpg?fit=700%2C700&ssl=1,In stock
17917,Apricots Extra,7.0,https://www.alrifai.com/shop/apricots-extra/,"All, All Fruits, Dried Fruits, Healthy Mixes & Dried Fruits","Premium hand picked apricots wholes dried to a golden yellow color. Ideal for snacking or cooking.
  SOLD IN: Vacuum Plastic Trays
ALLERGEN NOTICE: Sulfites",NaN,200 g,https://i0.wp.com/www.alrifai.com/wp-content/uploads/2022/07/Dried-Apricot_AH__0759.jpg?fit=700%2C700&ssl=1,In stock
19369,Almonds Sriracha,14.0,https://www.alrifai.com/shop/almonds-sriracha/,"All, Almonds, Flavored Nuts, Nuts & Kernels, Nuts & Seeds","Premium Almonds selected from the valleys of California for their rich taste and flavor. Our Sriracha Almonds are dry roasted without adding fats or oil in the process. We use unique flavors that works well with the texture of the Almonds to give you a delectable snack
GOOD FOR YOU:
Dry Roasted with no fats or oil added in the process.
SOLD IN: 500g (1.1lb) and 1Kg (2.2 lb)
ALLERGEN NOTICE: Nuts & gluten.
 ",NaN,"500g, 1.1lb, 1Kg, 2.2 lb",https://i0.wp.com/www.alrifai.com/wp-content/uploads/2023/03/Almond-Sriracha_AH__0537.jpg?fit=700%2C700&ssl=1,In stock
17920,Caramelized Cashews With Sesame,6.0,https://www.alrifai.com/shop/caramelized-cashews-with-sesame-black-edition/,"All, Jars","RIFAI premium Cashews glazed in caramelized sugar and vanilla bourbon with a sprinkle of toasted sesame and Canadian maple syrup to give you a sweet nutty taste.
SOLD IN: Plastic Jar 130g (4.5 oz.)
ALLERGEN NOTICE: Nuts, sesame.",5.0,0.17 kg,https://i0.wp.com/www.alrifai.com/wp-content/uploads/2022/07/Jar-Caramelized-Cashew_AH__0913.jpg?fit=700%2C700&ssl=1,In stock
17919,Bitter Orange Dark Chocolate,23.0,https://www.alrifai.com/shop/bitter-orange-dark-chocolate/,"All, All Fruits","Rifai Bitter Orange Chocolate are slices of dried oranges and half covered with dark chocolate.
SOLD IN: Bulk 1Kg & 500g",NaN,"1Kg, 500g",https://i0.wp.com/www.alrifai.com/wp-content/uploads/2022/07/Bitter-Orange-Dark-Chocolate_AH__0877.jpg?fit=700%2C700&ssl=1,In stock
17912,Almonds Spanish Salted,19.5,https://www.alrifai.com/shop/almonds-spanish-salted/,"All, Almonds, Nuts & Kernels, Nuts & Seeds","Premium Hand Picked Spanish Almonds dry roasted without oils or fats for great flavor and aromas. Spanish Almonds are know for their buttery taste.
SOLD IN: 500g (1.1lb) and 1Kg (2.2 lb)
ALLERGEN NOTICE: Nuts.",5.0,"500g, 1.1lb, 1Kg, 2.2 lb",https://i0.wp.com/www.alrifai.com/wp-content/uploads/2022/07/Almond-American-Salted_AH__0484.jpg?fit=700%2C700&ssl=1,SOLD OUT
17709,Banana Chips,4.5,https://www.alrifai.com/shop/banana-chips/,"All, All Fruits, Dried Fruits, Healthy Mixes & Dried Fruits","Hand Picked Tropical Bananas dried in open Air
SOLD IN: Plastic Tray 170g (0.37 lb)
ALLERGEN NOTICE: none.",NaN,200 kg,https://i0.wp.com/www.alrifai.com/wp-content/uploads/2022/07/iStock-666389120.jpg?fit=700%2C700&ssl=1,In stock
17916,Apricot Squares,8.5,https://www.alrifai.com/shop/apricot-squares/,"All, All Fruits, Fruit Paste","Apricots, sugar, water, glucose and olive oil all mixed together and brought to a boil then dried into a thick paste. A unique take from RIFAI on this oriental confection which is cut in small squared bite pieces and wrapped individually.
SOLD IN: 500g (1.1lb) and 1Kg (2.2 lb)
ALLERGEN NOTICE: None",NaN,"500g, 1.1lb, 1Kg, 2.2 lb",https://i0.wp.com/www.alrifai.com/wp-content/uploads/2022/07/Apricot-Square_AH__0840.jpg?fit=700%2C700&ssl=1,In stock
17760,Caramelized Almonds,6.0,https://www.alrifai.com/shop/glazed-almonds/,"All, Jars, Sugared Nuts","RIFAI premium Almonds glazed in caramelized sugar and vanilla bourbon to give you a sweet nutty taste
SOLD IN: Plastic Jar 130g (0.28lb)
ALLERGEN NOTICE: Nuts.",NaN,0.25 kg,https://i0.wp.com/www.alrifai.com/wp-content/uploads/2022/07/Jar-Caramelized-Almond-Sea-Salt_AH__0915.jpg?fit=700%2C700&ssl=1,In stock
17924,Cashew krikri,11.0,https://www.alrifai.com/shop/cashew-krikri/,"All, Cashews, Nuts & Kernels, Nuts & Seeds","Premium Hand Picked Cashews Coated with our signature krikri crunchy layer of dough and roasted to a golden color.
GOOD FOR YOU:
Dry Roasted with no fats or oil added in the process
SOLD IN: Bulk 1kg (2.2lb) and 500g (1.1lb)
ALLERGEN NOTICE: Nuts, Gluten.",NaN,"1kg, 2.2lb, 500g, 1.1lb",https://i0.wp.com/www.alrifai.com/wp-content/uploads/2022/07/Cashew-Coated-Krikri_AH__0430.jpg?fit=700%2C700&ssl=1,In stock
17927,Cashews Chili,19.0,https://www.alrifai.com/shop/cashews-chili/,"All, Cashews, Flavored Nuts, Nuts & Kernels, Nuts & Seeds","Premium Hand Picked Cashews Dry Roasted without fats or oil and covered with a unique chili and hot flavor
GOOD FOR YOU:
Dry Roasted with no fats or oil added in the process
SOLD IN: Bulk 1kg (2.2lb) and 500g (1.1lb)
ALLERGEN NOTICE: Nuts & gluten.",NaN,"1kg, 2.2lb, 500g, 1.1lb",https://i0.wp.com/www.alrifai.com/wp-content/uploads/2022/07/Cashew-Chili_AH__0657.jpg?fit=700%2C700&ssl=1,In stock
17922,Caramelized Pecan Nuts,7.0,https://www.alrifai.com/shop/caramelized-pecan-nuts-black-edition-2/,"All, Jars","RIFAI premium pecans glazed in caramelized sugar and vanilla bourbon with a touch of maple to give you a sweet nutty taste you always come back for.
SOLD IN: Plastic Jar 130g (4.5 oz.)
ALLERGEN NOTICE: Nuts.",NaN,0.2 kg,https://i0.wp.com/www.alrifai.com/wp-content/uploads/2022/07/Jar-Caramelized-Pecan_AH__0903.jpg?fit=700%2C700&ssl=1,In stock
17931,Cashews Dry Roasted Unsalted,18.0,https://www.alrifai.com/shop/cashews-dry-roasted-unsalted/,"All, Cashews, Nuts & Kernels, Nuts & Seeds","Carefully selected premium Jumbo Cashews dry roasted without salt to a golden color.
GOOD FOR YOU:
Dry Roasted with no fats or oil added in the process
SOLD IN: Bulk 1kg (2.2lb) and 500g (1.1lb)
ALLERGEN NOTICE: Nuts.",4.91,"1kg, 2.2lb, 500g, 1.1lb",https://i0.wp.com/www.alrifai.com/wp-content/uploads/2022/07/Cashew-Unsalted-Dry-Roasted_AH__0590.jpg?fit=700%2C700&ssl=1,In stock
20260,Cashews Ginger Lemon,20.0,https://www.alrifai.com/shop/cashews-ginger-lemon/,"All, Cashews","Premium Hand Picked Cashew Kernels Dry Roasted without any fats or oil and covered with Ginger Lemon Flavor. A Delectable Snack.
SOLD IN: Bulk in 1Kg (2.2lb) and 500g (1.1lb)
ALLERGEN NOTICE: Nuts.",NaN,"1Kg, 2.2lb, 500g, 1.1lb",https://i0.wp.com/www.alrifai.com/wp-content/uploads/2023/08/Bowl.jpg?fit=700%2C700&ssl=1,In stock
20936,Cashews Coated Thyme,11.0,https://www.alrifai.com/shop/cashews-coated-thyme/,"All, Cashews","Premium Hand Picked Cashews Coated with a crunchy layer of dough and flavored with traditional thyme herbs.
GOOD FOR YOU:
No MSGs (glutamates)
  SOLD IN: Bulk 1kg (2.2lb) and 500g (1.1lb)
ALLERGEN NOTICE: Nuts.",NaN,"1kg, 2.2lb, 500g, 1.1lb",https://i0.wp.com/www.alrifai.com/wp-content/uploads/2024/05/CashewThyme_AH__0618.jpg?fit=700%2C700&ssl=1,In stock
17925,Cashew Truffles,20.0,https://www.alrifai.com/shop/cashew-truffles/,"All, Cashews, Nuts & Kernels, Nuts & Seeds","Premium Hand Picked Cashew Kernels Dry Roasted without any fats or oil and covered with Black Truffles. A Delectable Snack.
SOLD IN: Bulk in 1Kg (2.2lb) and 500g (1.1lb)
ALLERGEN NOTICE: Nuts.",NaN,"1Kg, 2.2lb, 500g, 1.1lb",https://i0.wp.com/www.alrifai.com/wp-content/uploads/2022/07/Cashew-Truffles-Dry-Roasted_AH__0667.jpg?fit=700%2C700&ssl=1,In stock
17929,Cashews Coated Soy,11.0,https://www.alrifai.com/shop/cashews-coated-soy/,"All, Cashews, Nuts & Kernels, Nuts & Seeds","Premium Hand Picked Cashews Coated with a crunchy layer of dough and flavored with Soy Sauce.
GOOD FOR YOU:
No MSGs (glutamates)
SOLD IN: Bulk 1kg (2.2lb) and 500g (1.1lb)
ALLERGEN NOTICE: Nuts, Gluten and Soy.",NaN,"1kg, 2.2lb, 500g, 1.1lb",https://i0.wp.com/www.alrifai.com/wp-content/uploads/2022/07/Cashews-Crackers-Soy_AH__0621.jpg?fit=700%2C700&ssl=1,In stock
20370,Cashews Coconut,5.25,https://www.alrifai.com/shop/cashews-coconut/,"All, Cashews","Premium Hand Picked Cashews Dry Roasted without fats or oil and covered with a unique coconut milk flavor and roasted flakes.
GOOD FOR YOU:
No MSGs (glutamates)
Dry Roasted with no fats or oil added in the process
SOLD IN: Plastic Jar 140g
ALLERGEN NOTICE: Nuts, milk.",NaN,0.2 kg,https://i0.wp.com/www.alrifai.com/wp-content/uploads/2023/10/coconutCashewsJar-scaled.jpg?fit=700%2C737&ssl=1,In stock
17926,Cashews Cheese,19.0,https://www.alrifai.com/shop/cashews-cheese/,"All, Cashews, Flavored Nuts, Nuts & Kernels, Nuts & Seeds","Premium Hand Picked Cashews Dry Roasted without fats or oil and covered with a unique cheese flavor and cheddar swiss cheese.
GOOD FOR YOU:
Dry Roasted with no fats or oil added in the process
SOLD IN: Bulk 1kg (2.2lb) and 500g (1.1lb)
ALLERGEN NOTICE: Nuts, milk.",4.89,"1kg, 2.2lb, 500g, 1.1lb",https://i0.wp.com/www.alrifai.com/wp-content/uploads/2022/07/Cashew-Cheese_AH__0653.jpg?fit=700%2C700&ssl=1,In stock
17932,Cashews Roasted Skin-on,20.0,https://www.alrifai.com/shop/cashews-roasted-skin-on/,All,"SOLD IN: Bulk 1kg (2.2lb), 500g (1.1 lb) and Jar 140g (0.33 lb)
ALLERGEN NOTICE: Nuts.",5.0,"1kg, 2.2lb, 500g, 1.1 lb, 140g, 0.33 lb",https://i0.wp.com/www.alrifai.com/wp-content/uploads/2022/07/Cashew-Roasted-Skin-On_AH__0476.jpg?fit=700%2C700&ssl=1,In stock
17936,Chickpeas Chili,5.5,https://www.alrifai.com/shop/chickpeas-chili/,"All, Chickpeas, Flavored Nuts, Nuts & Kernels, Nuts & Seeds","Rifai Chickpeas Chili are dry roasted with sea salt and no fat added during the process. They are a flavored with red and green hot chili sauce. A versatile snack and ideal if you want to increase your protein intake.
GOOD FOR YOU:
Dry Roasted with no fats or oil added in the process
Rich in Protein
SOLD IN: Bulk 1kg (2.2lb) and 500g (1.1lb)
ALLERGEN NOTICE: Gluten",NaN,"1kg, 2.2lb, 500g, 1.1lb",https://i0.wp.com/www.alrifai.com/wp-content/uploads/2022/07/Chickpeas-Hot_AH__0450.jpg?fit=700%2C700&ssl=1,SOLD OUT
17935,Cashews Wasabi,11.0,https://www.alrifai.com/shop/cashews-wasabi/,"All, Cashews, Flavored Nuts, Nuts & Kernels, Nuts & Seeds","Carefully selected premium cashews from Brazil covered with a crunch layer of dough and coated with green wasabi flavor.
SOLD IN: Bulk 1kg (2.2lb) and 500g (1.1lb)
ALLERGEN NOTICE: Nuts, gluten.",4.17,"1kg, 2.2lb, 500g, 1.1lb",https://i0.wp.com/www.alrifai.com/wp-content/uploads/2022/07/Cashews-Crackers-Wasabi_AH__0633.jpg?fit=700%2C700&ssl=1,In stock
17726,Cashews Raw 260g,8.0,https://www.alrifai.com/shop/cashews-raw/,"All, Cashews, Nuts & Kernels, Nuts & Seeds, Raw Nuts & Seeds","Premium hand picked raw cashews from the farms of Brazil. Cashews are a plentiful source of minerals like iron, magnesium, and phosphorus. They also contain small amounts of zinc, potassium, and selenium.
A tasty and crunchy treat that you can enjoy raw. Eat from the bag, make cashew milk, add them to trail mixes, or chop and toss them into a salad along with one of our gourmet superfood salad dressings.
SOLD IN: Plastic Tray 260g (0.57 lbs)
ALLERGEN NOTICE: Nuts.",4.0,0.26 kg,https://i0.wp.com/www.alrifai.com/wp-content/uploads/2022/07/Raw-Cashew_AH__0712.jpg?fit=700%2C700&ssl=1,In stock
17937,Chickpeas Krikri,5.5,https://www.alrifai.com/shop/chickpeas-krikri/,"All, Chickpeas, Nuts & Kernels, Nuts & Seeds","Rifai chickpeas krikri are dry roasted with sea salt and without fat added during the process. They are a coated with a crunchy layer of dough. An ideal snack if you want to increase your protein intake.
GOOD FOR YOU:
Dry Roasted with no fats or oil added in the process
Rich in Protein
SOLD IN: Bulk 1kg (2.2lb) and 500g (1.1lb)
ALLERGEN NOTICE: Gluten",5.0,"1kg, 2.2lb, 500g, 1.1lb",https://i0.wp.com/www.alrifai.com/wp-content/uploads/2022/07/Chickpeas-KriKri_AH__0426.jpg?fit=700%2C700&ssl=1,In stock
17933,Cashews Salted,18.0,https://www.alrifai.com/shop/cashews-salted/,"All, Cashews, Nuts & Kernels, Nuts & Seeds","Carefully selected premium Jumbo Cashews roasted with a hint of sea salt.
SOLD IN: Bulk 1kg (2.2lb) and 500g (1.1lb)
ALLERGEN NOTICE: Nuts.",NaN,"1kg, 2.2lb, 500g, 1.1lb",https://i0.wp.com/www.alrifai.com/wp-content/uploads/2022/07/Cashew-Salted-Extra_AH__0533.jpg?fit=700%2C700&ssl=1,In stock
17941,Chickpeas Sugared,4.0,https://www.alrifai.com/shop/chickpeas-sugared/,"All, Chickpeas, Nuts & Kernels, Nuts & Seeds","Rifai Chickpeas Sugared are coated with a sugar syrup and then dry roasted with without any fat added during the process. They are a sweet version loved by kids and adults alike. They are a versatile snack and ideal if you want to increase your protein intake.
GOOD FOR YOU:
Dry Roasted with no fats or oil added in the process
Rich in Protein
SOLD IN: Bulk 1kg (2.2lb) and 500g (1.1lb)
ALLERGEN NOTICE: None",5.0,"1kg, 2.2lb, 500g, 1.1lb",https://i0.wp.com/www.alrifai.com/wp-content/uploads/2022/07/Chickpeas-Sugary_AH__0697.jpg?fit=700%2C700&ssl=1,In stock
17940,Chickpeas Stanbouli,5.5,https://www.alrifai.com/shop/chickpeas-stanbouli/,"All, Chickpeas, Nuts & Kernels, Nuts & Seeds","Rifai Chickpeas Stanbouli are dry roasted with sea salt and no fat added during the process. They have a hard texture due to the unpeeled shell. They are a versatile snack and ideal if you want to increase your protein intake.
GOOD FOR YOU:
Dry Roasted with no fats or oil added in the process
Rich in Protein
SOLD IN: Bulk 1kg (2.2lb) and 500g (1.1lb)
ALLERGEN NOTICE: None",5.0,"1kg, 2.2lb, 500g, 1.1lb",https://i0.wp.com/www.alrifai.com/wp-content/uploads/2022/07/Chickpeas-White-Half-Salted_AH__0448.jpg?fit=700%2C700&ssl=1,In stock
17938,Chickpeas Original,5.5,https://www.alrifai.com/shop/chickpeas-original/,"All, Chickpeas, Nuts & Kernels, Nuts & Seeds","Rifai chickpeas original are dry roasted with sea salt and without fat added during the process. They are a versatile snack and ideal if you want to increase your protein intake.
GOOD FOR YOU:
Dry Roasted with no fats or oil added in the process
Rich in Protein
SOLD IN: Bulk 1kg (2.2lb) and 500g (1.1lb)
ALLERGEN NOTICE: None",5.0,"1kg, 2.2lb, 500g, 1.1lb",https://i0.wp.com/www.alrifai.com/wp-content/uploads/2022/07/Chickpeas-Yellow_AH__0437-1.jpg?fit=700%2C700&ssl=1,In stock
17939,Chickpeas Salted,5.5,https://www.alrifai.com/shop/chickpeas-salted/,"All, Chickpeas, Nuts & Kernels, Nuts & Seeds","Rifai chickpeas original are dry roasted with sea salt and no fat added during the process and covered with a fine mist of sea salt. They are a versatile snack and ideal if you want to increase your protein intake.
GOOD FOR YOU:
Dry Roasted with no fats or oil added in the process
Rich in Protein
SOLD IN: Bulk 1kg (2.2lb) and 500g (1.1lb)
ALLERGEN NOTICE: None",5.0,"1kg, 2.2lb, 500g, 1.1lb",https://i0.wp.com/www.alrifai.com/wp-content/uploads/2022/07/Chickpeas-Yellow-Dust-Salted_AH__0443.jpg?fit=700%2C700&ssl=1,In stock
17942,Chinese Mix,4.5,https://www.alrifai.com/shop/chinese-mix/,"All, Fresh Mixes From the Nut Warmer","Rifai Chinese Mix is a delectable medley of Asian flavors made from peas, beans, coated peas, chickpeas, carrots and flavored peanuts.
GOOD FOR YOU:
No MSGs (glutamates)
Source of Fiber
Vegan Friendly
Rich in Protein
SOLD IN: Bulk 1kg (2.2lb) and 500g (1.1lb)
ALLERGEN NOTICE: Peanuts, gluten, soy and milk.",NaN,"1kg, 2.2lb, 500g, 1.1lb",https://i0.wp.com/www.alrifai.com/wp-content/uploads/2022/07/Chinese_Vegetables_Mix-scaled-1.jpg?fit=700%2C700&ssl=1,In stock
20200,Classic Capsule,3.75,https://www.alrifai.com/shop/classic-capsule/,"All, Coffee, Coffee Capsules","Rifai medium roasted smooth & creamy fruity coffee capsules.
Contents: 10 Aluminum capsules with roasted & ground coffee.
Sold in: Carton box 50g (0.11lb)",NaN,0.1 kg,https://i0.wp.com/www.alrifai.com/wp-content/uploads/2023/07/Rifai-Cafe-Classic-.jpg?fit=700%2C700&ssl=1,In stock
17947,Coated Peanuts Nachos,5.5,https://www.alrifai.com/shop/coated-peanuts-nachos/,"All, Coated Peanuts, Flavored Nuts, Nuts & Kernels, Nuts & Seeds","Premium Hand Picked Peanuts coated with a crunchy layer of golden dough and flavored with Cheese Nachos
SOLD IN: Bulk 1kg (2.2lb) and 500g (1.1lb)
ALLERGEN NOTICE: Peanuts, milk and gluten.",NaN,"1kg, 2.2lb, 500g, 1.1lb",https://i0.wp.com/www.alrifai.com/wp-content/uploads/2022/07/Peanut-Crackers-Nacho_AH__0595.jpg?fit=700%2C700&ssl=1,In stock
17950,Coated Peanuts Wasabi,5.5,https://www.alrifai.com/shop/coated-peanuts-wasabi/,"All, Coated Peanuts, Flavored Nuts, Nuts & Kernels, Nuts & Seeds","Premium Hand Picked Peanuts coated with a crunchy layer of golden dough and flavored with Wasabi Roots.
SOLD IN: Bulk 1kg (2.2lb) and 500g (1.1lb)
ALLERGEN NOTICE: Peanuts and gluten.",NaN,"1kg, 2.2lb, 500g, 1.1lb",https://i0.wp.com/www.alrifai.com/wp-content/uploads/2022/07/Peanut-Crackers-Wasabi_AH__0611.jpg?fit=700%2C700&ssl=1,In stock
17949,Coated Peanuts Thyme,5.5,https://www.alrifai.com/shop/coated-peanuts-thyme/,"All, Coated Peanuts, Flavored Nuts, Nuts & Kernels, Nuts & Seeds","Premium Hand Picked Peanuts coated with a crunchy layer of golden dough and flavored with Traditional thyme herbs.
SOLD IN: Bulk 1kg (2.2lb) and 500g (1.1lb)
ALLERGEN NOTICE: Peanuts and gluten.",5.0,"1kg, 2.2lb, 500g, 1.1lb",https://i0.wp.com/www.alrifai.com/wp-content/uploads/2022/07/Peanut-Crackers-Thyme_AH__0612.jpg?fit=700%2C700&ssl=1,In stock
